0,0
5342.88,14269,
5344.74,14269,
5346.58,14269,
5348.45,14269,
5350.56,14269,
5352.39,14269,
5354.24,14269,
5356.10,14269,
5358.16,14269,
5360.01,14269,
5361.88,14269,
5363.86,14269,
5365.85,14269,
5367.70,14269,
5369.55,14269,
5371.37,14269,
5373.21,14269,
5375.03,14269,
5377.04,14269,
5379.09,14269,
5382.77,14269,
5384.60,14269,
5386.43,14269,
5390.41,14269,
5392.46,14269,
5394.49,14269,
5396.31,14269,
5398.15,14269,
5399.98,14269,
5402.05,14269,
5404.06,14269,
5405.91,14269,
5409.85,14269,
5411.70,14269,
5413.52,14269,
5415.58,14269,
5417.42,14269,
5419.23,14269,
5421.06,14269,
5422.88,14269,
5425.01,14271,
5426.78,14271,
5428.76,14271,
5430.58,14271,
5432.54,14271,
5434.38,14271,
5436.19,14271,
5438.03,14271,
5440.01,14271,
5441.97,14271,
5443.78,14271,
5445.71,14271,
5447.52,14271,
5449.47,14271,
5451.51,14271,
5453.52,14271,
5455.30,14271,
5457.09,14271,
5458.88,14271,
5460.69,14271,
5462.50,14271,
5464.30,14271,
5466.13,14271,
5467.93,14271,
5471.57,14271,
5473.58,14271,
5477.16,14271,
5479.02,14271,
5482.59,14271,
5484.42,14271,
5486.20,14271,
5488.02,14271,
5489.82,14271,
5491.78,14271,
5493.76,14271,
5495.57,14271,
5497.40,14271,
5499.35,14271,
5501.16,14271,
5502.98,14271,
5504.96,14271,
5506.81,14271,
5508.83,14271,
5510.64,14271,
5514.22,14271,
5516.04,14271,
5517.85,14271,
5519.62,14287,
5521.43,14287,
5523.46,14287,
5525.27,14287,
5527.24,14287,
5529.06,14287,
5531.07,14287,
5533.06,14287,
5534.88,14287,
5536.80,14287,
5538.62,14287,
5540.58,14287,
5542.44,14287,
5546.02,14287,
5547.82,14287,
5549.62,14287,
5551.43,14287,
5553.23,14287,
5555.21,14287,
5557.24,14287,
5559.00,14287,
5560.78,14287,
5562.75,14287,
5564.76,14287,
5566.56,14287,
5570.15,14287,
5571.94,14287,
5575.50,14287,
5577.45,14287,
5579.27,14287,
5581.21,14287,
5583.03,14287,
5584.84,14287,
5586.65,14287,
5588.45,14287,
5590.26,14287,
5592.18,14287,
5594.16,14287,
5595.96,14287,
5597.76,14287,
5599.60,14287,
5601.42,14287,
5603.23,14287,
5605.00,14287,
5606.98,14287,
5608.76,14287,
5610.70,14287,
5612.49,14287,
5614.43,14287,
5616.24,14287,
5618.08,14287,
5619.91,14287,
5621.76,14287,
5623.61,14287,
5625.59,14287,
5631.02,14287,
5632.87,14287,
5634.65,14287,
